TI ,AU ,AE ,AB%,DC,DC2,DC3,DC4
"Micro mechanical inertial sensor, e.g., micro mechanical tuning fork gyroscope has increased pickoff resonance damping and includes proof masses connected to mechanical ground",PINSON J C,HONEYWELL INT INC (HONE-C);  PINSON J C (PINS-Individual);  HONEYWELL INT INC (HONE-C),"%%%The%sensor%(10)%senses%rotation%about%a%first%axis%(18).%The%first%and%second%proof%masses%(14)%are%spaced%apart%from%and%mechanically%connected%to%a%substrate%(12).%The%proof%masses%vibrate%along%a%second%axis%(20)%orthogonal%to%the%first%axis.%The%proof%masses%are%also%moveable%along%a%third%axis%orthogonal%to%the%first%and%second%axes%in%response%to%rotation%about%the%first%axis.%Two%pickoff%plates%(26)%are%in%a%partial%alignment%with%the%proof%masses.%Voltage%sources%are%electrically%connected%to%pickoff%plates%for%providing%charge%to%the%pickoff%plates.%%%%%-%For%detecting%rotational%motions%in%aircraft,%automobiles%and%other%applications.%In%the%automotive%industry%the%sensor%is%d%for%levelling%controls,%anti-spin%systems,%anti-skid%systems%and%navigation%purposes.%In%the%military%industry%the%sensor%finds%application%for%missile%guidance,%smart%munitions,%tracker%buoys,%autonomous%vehicles,%and%land%navigation.%The%inertial%sensors%are%also%utilized%in%virtual%reality%systems,%camcorders,%GPS%receivers,%and%the%like.%%%%%-%Micro%mechanical%inertial%sensor%has%increased%damping%at%the%pickoff%natural%resonant%frequency%without%altering%the%response%at%a%predetermined%motor%frequency.%The%sensor%is%thus%less%susceptible%to%saturation%from%input%rates%of%rotation%at%frequencies%outside%the%ful%bandwidth%of%the%sensor.%%%%%%-%The%sensor%includes%resistive%elements%placed%in%series%between%the%voltage%sources%and%each%of%the%pickoff%plates%to%increase%the%damping%of%the%pickoff%resonance%of%the%sensor.%%%%%OF%DRAWING(S)%-%The%drawing%is%a%plan%view%of%a%micro%mechanical%inertial%sensor.%%%%Micro%mechanical%inertial%sensor%(10)%%%%Substrate%(12)%%%%Proof%masses%(14)%%%%First%axis%(18)%%%%Second%axis%(20)%%%%Pickoff%plates%(26)%","S02(EngineeringInstrumentation,recordingequipment,generaltestingmethods)","U12(DiscreteDevices,e.g.LEDs,photovoltaiccells)","W06(Aviation,MarineandRadarSystems)",EP1427990-A1PCTapplicationApplicationWOUS29495;EP1427990-A1BasedonPatentWO2003025506;AU2002334586-A1BasedonPatentWO2003025506;JP2005504273-WPCTapplicationApplicationWOUS29495;JP2005504273-WBasedonPatentWO2003025506;AU2002334586-B2PreviousPubl.PatentAU2002334586;AU2002334586-B2BasedonPatentWO2003025506;IL160947-ABasedonPatentWO2003025506
"Autonomous vehicle station for cruise-assist highway system, has several branch tracks with platforms for arranging several vehicles corresponding to their destination during arrival and departure",NA,TOSHIBA KK (TOKE-C),"%%%Several%branch%tracks%(3a1-3a4)%with%several%destination%stations%for%several%vehicles%(10a1-10a5),%are%branched%from%the%exclusive%tracks%(2a,2b).%Platforms%(4a1-4a3)%are%provided%along%the%branch%tracks%for%arrival%and%departure,%and%vehicles%corresponding%to%each%destination%station%are%arranged%in%the%branch%track%as%one-vehicle%per%branch%track.%%%%%-%Station%for%autonomous%vehicle%e.g.%tramcar%d%by%cruise-assist%high%way%system,%etc.%%%%%-%Provides%separate%service-wire%for%vehicle%when%alteration%is%required.%Reduces%installation%space%and%labor%of%party-line%order%alteration%operation.%Delay%of%vehicle%is%handled%efficiently.%%%%DESCRIPTION%OF%DRAWING(S)%-%The%figure%shows%the%structure%of%the%autonomous%vehicle%station.%(Drawing%includes%non-English%language%text).%%%%exclusive%tracks%(2a,2b)%%%%branch%tracks%(3a1-3a4)%%%%Platforms%(4a1-4a3)%%%%vehicles%(10a1-10a5)%",Q21(Railways),T06(ProcessandMachineControl),X23(ElectricRailwaysandSignalling),NA
"Background electromagnetic radiation suppression method for position-determination of laser spot, by using model of spectral distribution to determine image brightness",KIRSCHNER H;  KIRSSCHNER H,LEICA GEOSYSTEMS AG (LIGO-C);  LEICA GEOSYSTEMS AG (LIGO-C);  LEICA GEOSYSTEMS AG (LIGO-C);  KIRSCHNER H (KIRS-Individual);  LEICA GEOSYSTEMS AG (LIGO-C);  LEICA GEOSYSTEMS AG (LIGO-C),"%%%The%method%involves%recording%at%least%one%P-image%(A)%for%a%defined%spectral%range,%and%recording%at%least%one%N-image%(B)%for%a%different%defined%spectral%range.%A%signal%and%information%processing%device%s%a%model%of%the%spectral%distribution%of%the%background%radiation%(2)%to%determine%the%image%brightness%(SSP)%of%the%background%radiation%in%at%least%one%P-image,%and%the%signal%to%be%detected%is%extracted.%%%%%-%For%target%designation%in%geodetic%measuring,%e.g.%for%autonomous%vehicles%or%tracking%astronomical%objects.%%%%%-%Improved%detection%and%position%determination%of%electromagnetic%signal%in%observed%field%of%view.%%%%%%-%INDEPENDENT%CLAIMS%are%also%included%for%an%apparatus%for%suppressing%EM%background%radiation,%and%for%a%measuring%device%for%geodetic%measurements.%%%%%OF%DRAWING(S)%-%The%drawing%represents%a%step%in%which%a%background%is%derived%from%P%and%N%images.%%%%P-image%(A)%%%%N-image%(B)%%%%Background%radiation%(2)%","W06(Aviation,MarineandRadarSystems)","Q79(Weapons,ammunition,blasting)",NA,EP1405097-A1PCTapplicationApplicationWOEP06239;EP1405097-A1BasedonPatentWO2003005057;AU2002319202-A1BasedonPatentWO2003005057;US2004208340-A1PCTapplicationApplicationWOEP06239;JP2004533627-WPCTapplicationApplicationWOEP06239;JP2004533627-WBasedonPatentWO2003005057;NO200400030-APCTapplicationApplicationWOEP06239;AU2002319202-B2BasedonPatentWO2003005057;JP4217609-B2PCTapplicationApplicationWOEP06239;JP4217609-B2BasedonPatentWO2003005057;JP4217609-B2PreviousPubl.PatentJP2004533627;US7809182-B2PCTapplicationApplicationWOEP06239;US7809182-B2BasedonPatentWO2003005057;EP1405097-B1PCTapplicationApplicationWOEP06239;EP1405097-B1BasedonPatentWO2003005057;CA2451782-CPCTapplicationApplicationWOEP06239;CA2451782-CBasedonPatentWO2003005057;NO336723-B1PCTapplicationApplicationWOEP06239;NO336723-B1PreviousPubl.PatentNO200400030
"Motor with speed reduction worm gear used in vehicles to operate powered windows/sunroof drives, has reduced dia shaft zone next to integral extension of shaft/central bearing",OHASHI Y,JIDOSHA DENKI KOGYO KK (JDOS-C),"%%%Armature%shaft%(6)%runs%within%three%bearings%(7-9),%such%that%two%bearings%(7,8)%on%either%sides%of%the%worm%(10)%formed%integrally%over%the%rotor%shaft,%contacts%with%gear%wheel%(17).%Adjacent%and%to%the%right%of%the%central%bearing%(8)%a%slimmed%dia%shaft%zone%(11),%is%introduced.%%%%%-%Low%powered%permanent%magnets%based%motors%are%extensively%d%in%vehicles%as%autonomous%power%drives%to%operate%powered%windows/sunroofs,%etc.%%%%%-%The%reduced%stiffness%of%the%rotor%assembly%facilitates%acceptance%of%nominal%misalignments%without%undue%strain%over%the%bearings.%Also,%the%vibration/noise%effects%and%the%rigidity%of%the%rotor%assembly%are%significantly%lowered.%%%%%%-%Alternate%designs,%still%within%the%three%bearing%support%pattern%for%the%rotor%assembly%locate%the%slimmed%dia%shaft%zone%to%the%left%of%the%central%bearing.%In%another%variant,%the%slimmed%shaft%zone%is%subdivided%into%two%separate%smaller%length%zones,%both%located%between%the%worm%and%the%central%bearing.%%%%%OF%DRAWING(S)%-%The%figure%shows%the%front%elevation%of%the%motor%with%speed%worm%gear.%(Drawing%includes%non-English%language%text).%%%%armature%shaft%(6)%%%%bearings%(7-9)%%%%worm%(10)%%%%slimmed%dia%shaft%zone%(11)%%%%gear%wheel%(17)%",V06(ElectromechanicalTransducersandSmallMachines),X11(PowerGenerationandHighPowerMachines),NA,NA
Vehicle mounted autonomous rectilinear advance apparatus updates stored target azimuth angles with respect to forward and return traveling paths using calculated target azimuth angle between forward and return paths,NA,NIPPON KOKU DENSHI KOGYO KK (NIAV-C);  SEIBUTSUKEI TOKUTEI SANGYO GIJUTSU (SEIB-Non-standard);  DOKURITSU GYOSEI HOJIN NOGYO SEIBUTSU SH (NORQ-C),"%%%The%apparatus%(11)%calculates%the%target%azimuth%angle%between%forward%and%return%traveling%paths,%based%on%signal%received%from%a%azimuth%sensor%(111)%in%response%to%a%rectilinear%advance%signal%received%from%a%signal%generator%(113).%The%stored%target%azimuth%angles%with%respect%to%forward%and%return%traveling%paths%are%updated%using%calculated%value%and%the%steering%control%is%performed%accordingly.%%%%%-%Autonomous%rectilinear%advance%apparatus%mounted%in%vehicle%such%as%agricultural%industrial%vehicle%e.g.%automatic%rice%planting%machine%and%other%vehicles.%%%%%-%Automatically%updates%the%target%azimuth%angles%with%respect%to%forward%and%return%traveling%paths%and%hence%improves%the%working%efficiency%of%the%autonomous%rectilinear%advance%apparatus.%%%%DESCRIPTION%OF%DRAWING(S)%-%The%figure%shows%a%block%diagram%of%the%vehicle%mounted%autonomous%rectilinear%advance%apparatus.%(Drawing%includes%non-English%language%text).%%%%autonomous%rectilinear%advance%apparatus%(11)%%%%azimuth%sensor%(111)%%%%signal%generator%(113)%","P11(Soilworking,planting)",T06(ProcessandMachineControl),X22(AutomotiveElectrics),X25(IndustrialElectricEquipment)
Way to remove powder gases from combat compartment while artillery gun fires and device for its realization,SHIPUNOV A G;  GRYAZEV V P;  BEREZIN S M;  SHVETS L M;  DULNEV V A;  PUCHKOV V M,INSTRUMENT-MAKING DES BUR UNITARY ENTERP (INST-Soviet Institute),"%%%Characteristic%feature%of%invention%lies%in%that%recoiled%parts%of%gun%together%with%empty%case%are%set%in%rear%position%on%sear%after%shot.%Gun%is%turned%through%angle%of%throw%of%case,%hatch%in%turret%of%combat%compartment%is%open.%Mobile%parts%of%gun%are%removed%from%sear%and%empty%case%is%extracted%beyond%limits%of%combat%compartment%with%counterrecoil%of%mobile%parts.%Gas%flow%in%this%case%entrained%by%empty%case%is%directed%into%hatch.%Gun%is%transferred%through%loading%angle%and%hatch%is%closed.%Mechanism%for%removal%of%powder%gases%from%gun%barrel%comes%in%the%form%of%enclosure%mounted%on%top%of%turret%of%combat%compartment%for%entry%of%breech%end%of%gun%inside%enclosure%when%angle%of%throw%of%case%is%achieved.%%%%%-%Military%equipment,%self-propelled%artillery%mounts,%tanks,%infantry%combat%vehicles,%shipboard%artillery%installations.%%%%%-%Reduced%content%of%gases%in%combat%compartment%when%artillery%gun%fires%and%provision%for%autonomous%ejection%of%empty%case%beyond%limits%of%turret%of%combat%compartment%with%%of%energy%of%recoiled%parts%of%gun.%2%cl,%2%dwg%","Q79(Weapons,ammunition,blasting)",NA,NA,NA
Autonomous locomotive crossing warning system screens out messages from vehicles on courses not intersecting crossing,BLESENER J L;  MELBY G M,C3 TRANS SYSTEMS LLC (CTHR-Non-standard);  C3 TRANS SYSTEMS LLC (CTHR-Non-standard);  BLESENER J L (BLES-Individual);  MELBY G M (MELB-Individual);  ANSALDO STS USA INC (ANSA-Non-standard),"%%%The%system%comprises%controllers%associated%with%warning%system%components,%a%radio%transceiver%using%a%single%frequency%TDM%radio%communication%(connectionless%r%datagram)%protocol%and%a%GPS%receiver%providing%the%radio%transmitter%with%GPS%clock%synchronization%to%broadcast%messages%to%the%system%components.%Each%controller%utilizes%a%time%slot%arbitration%relying%on%GPS%clock%synchronization.%The%controller%for%each%vehicle%periodically%broadcasts%messages%including%heading,%speed%and%location%data.%%%%%-%System%is%for%vehicle%e.g.%railroad%collision%or%crossing%warning%and%can%be%d%for%emergency%vehicle%traffic%override%systems,%automobile%navigation%systems,%airport%and%construction%zone%vehicle%tracking%systems%etc.%%%%%-%System%is%inexpensive%and%low%power%and%enables%decentralized%installation,%operation%and%maintenance.%It%does%not%impinge%on%the%railroad%right%of%way.%%%%%%-%Each%controller%constructs%an%adaptive%localized%map%representing%the%location%of%nearby%components%of%interest%within%the%warning%system,%each%component%being%a%stationary%object%deployed%as%self-powered%units%at%a%crossing%receiving%broadcast%messages%over%the%TDM%protocol%and%communicating%with%other%units%by%a%low%power%RF%channel.%There%are%INDEPENDENT%CLAIMS%for:%%%%(1)%an%automatically%synchronized%radio%communications%system;%%%%(2)%a%stationary%vehicle%crossing%warning%system;%and%%%%(3)%a%method%of%operating%an%autonomous%vehicle%warning%system.%%%%%OF%DRAWING(S)%-%The%figure%shows%the%vehicle%warning%system%located%at%a%railroad%crossing.%","W06(Aviation,MarineandRadarSystems)",X22(AutomotiveElectrics),X23(ElectricRailwaysandSignalling),AU2002305426-A1BasedonPatentWO200291013;US2004249571-A1ProvisionalApplicationUS289320P;US2004249571-A1PCTapplicationApplicationWOUS14390;AU2002305426-A8BasedonPatentWO200291013;US7769544-B2PCTapplicationApplicationWOUS14390;US7769544-B2ProvisionalApplicationUS289320P;US7769544-B2BasedonPatentWO200291013;US2011125405-A1ProvisionalApplicationUS289320P;US2011125405-A1DivexApplicationUS476750;US2011125405-A1DivexApplicationWOUS14390;US2011125405-A1DivexPatentUS7769544;CA2446545-CPCTapplicationApplicationWOUS14390;CA2446545-CBasedonPatentWO200291013
"Inductor generator plant, comprises power inductor direct current generator, power inductor alternating current generator with excitation winding and with unit of power rectifiers",OSIPENKO V P;  PLATONOV E M;  FOLIMONOV L V;  KAFITULIN S A,OSIPENKO V P (OSIP-Individual);  PLATONOV E M (PLAT-Individual);  FOLIMONOV L V (FOLI-Individual);  KAFITULIN S A (KAFI-Individual),"%%%Plant%includes%power%inductor%DC%generator,%power%inductor%AC%generator%1%with%excitation%winding%2%and%with%unit%3%of%power%rectifiers;%exciting%AC%generator%4%with%unit%5%of%rectifiers.%Generator%4%is%connected%through%unit%5%of%rectifiers%and%unit%for%controlling%output%voltage%with%DC%excitation%winding%2.%Unit%for%controlling%voltage%output%between%power%terminals%of%inductor%generator%plant%includes%welding%current%pickup%6;%welding%voltage%pickup%7;%threshold%electric%current%device%8;%reference%voltage%shaper%9;%voltage%comparator%10;%pulse%width%modulator%11%and%pulse%type%voltage%stabilizer%12.%Output%of%welding%current%pickup%6%is%connected%through%threshold%device%8%with%inhibiting%inlet%of%voltage%comparator%10%whose%control%inlets%are%connected%with%output%of%welding%voltage%pickup%7%and%through%reference%voltage%shaper%9%-%with%output%of%unit%5%of%rectifiers%of%exciting%generator%4.%Output%of%comparator%10%is%connected%through%pulse%width%modulator%11%w%ith%control%inlet%of%pulse%type%voltage%stabilizer%12.%Output%of%unit%5%is%connected%in%addition%through%voltage%stabilizer%12%with%excitation%winding%2%of%inductor%generator%1.%%%%%-%Electric%machine%engineering,%namely%inductor%generator%plants,%possibly%d%as%autonomous%electric%power%sources%in%transport%vehicles,%in%wind-driven%electric%power%installations,%electric%power%units%for%different%manufacturing%processes%such%as%electric%arc%welding%by%pulsating%high-frequency%constant-value%current.%%%%%-%Lowered%labor%consumption%for%pulsating%electric%arc%welding%by%means%of%consumable%electrode.%1%dwg%","M23(Soldering,welding)","P55(Soldering,weldingmetal)",X11(PowerGenerationandHighPowerMachines),"X13(Switchgear,Protection,ElectricDrives)"
Intelligent highway for automatic secure transport systems comprises the arrival and departure of stations and autonomous self driven vehicles which run on specific directional tracks supported on longitudinal and transverse girders,DUBOIS J R E,DUBOIS J R E (DUBO-Individual),"%%%The%automatic%and%secure%transport%system%has%self%driving%autonomous%vehicles%(1)%with%means%to%prevent%collisions%which%run%on%specific%directional%tracks%(2).%The%tracks%are%supported%on%girders%(4)%and%pillars%(67)%and%lead%to%arrival%and%departure%stations%(5)%which%are%provided%with%information%equipment%(10).%The%information%equipment%when%d%with%portable%passenger%units%give%intercommunication%to%vehicles%and%stations%%%%%-%For%the%automatic%secure%transport%system%for%passengers%%%%%-%The%system%is%more%flexible%and%adaptable%to%individual%passenger%requirements%and%offers%a%considerable%improvement%in%safety%during%bad%weather%conditions%%%%DESCRIPTION%OF%DRAWING(S)%-%The%drawing%shows%the%vehicles,%stations%and%directional%tracks%%%%Vehicles%(1)%%%%Tracks%(2)%%%%Supporting%girders%(4)%%%%Stations%(5)%%%%Information%equipment%(10)%%%%Supporting%pillars%(67)%",Q21(Railways),T07(TrafficControlSystems),NA,NA
"Handheld control device for mobile robotic vehicle, has radio board having microprocessor that receives control input through user interface of handheld computer",FEDDEMA J T;  BYRNE R H;  BRYAN J R;  HARRINGTON J J;  GLADWELL T S,SANDIA CORP (LOCK-C),"%%%A%handheld%computer%controls%the%robots.%A%radio%board%in%communication%with%the%handheld%computer,%has%a%microprocessor%interfacing%with%the%computer%and%a%radio%board%communication%device,%such%that%the%microprocessor%receives%the%control%input%through%the%r%interface%of%handheld%computer.%%%%%-%For%controlling%robotic%vehicle%d%in%reconnaissance,%surveillance%and%target%acquisition,%force%protection%and%physical%security,%locating%and%identifying%hazardous%targets,%etc.%%%%%-%Enables%to%initiate%task%execution%and%coordinate%the%motion%of%multiple%autonomous%robots%easily.%%%%%%-%INDEPENDENT%CLAIMS%are%included%for%the%following:%%%%(1)%Base%station%controller%for%interfacing%to%handheld%computer;%and%%%%(2)%Mobile%robotic%vehicle%controlling%method.%%%%%OF%DRAWING(S)%-%The%figure%shows%the%flow%diagram%illustrating%the%steps%of%handheld%device%usage%process%to%control%robotic%vehicles.%",T01(DigitalComputers),"W05(Alarms,Signalling,TelemetryandTelecontrol)",NA,NA
"Vehicle positioning and data integration method e.g. for aircraft, involves transmitting navigation data like velocity, position, heading and time data from INS processor to control board through common bus",LIN C,AMERICAN GNC CORP (AMGN-Non-standard);  QINGFANG L (QING-Individual);  LIN C (LINC-Individual),"%%%The%global%positioning%system%measurement%and%earth's%magnetic%vector%measurement%are%sent%to%a%navigation%processing%board.%The%inertial%measurements%are%converted%to%digital%data%and%sent%to%the%navigation%processing%board%and%a%control%board.%The%velocity%and%acceleration%data%are%fed%to%a%GPS%processor%and%navigation%data%like%velocity,%position,%heading%and%time%data%are%transmitted%to%control%board%from%an%inertial%navigation%system%(INS)%processor%through%common%bus.%%%%%-%For%navigation%of%land,%air%and%marine%vehicles.%%%%%-%Permits%pure%autonomous%operation%and%output%continuous%position,%velocity,%and%attitude%data%of%vehicle,%after%initializing%starting%position%and%initiating%an%alignment%procedure.%%%%%%-%An%INDEPENDENT%CLAIM%is%included%for%universal%navigation%and%control%box.%%%%%OF%DRAWING(S)%-%The%figure%shows%the%universal%navigation%and%control%box.%","S02(EngineeringInstrumentation,recordingequipment,generaltestingmethods)",T01(DigitalComputers),W01(TelephoneandDataTransmissionSystems),"W06(Aviation,MarineandRadarSystems)"
"Power supply system for tram, has energy accumulating kinetic system powering overhead line which charges battery of supercapacitors while tram is stopped in station",BATISSE J;  BATISSE J P,ALSTOM (ALSM-C);  ALSTOM (ALSM-C);  ALSTOM SA (ALSM-C);  ALSTOM (ALSM-C);  ALSTOM TRANSPORT SA (ALSM-C);  ALSTOM TRANSPORT SA (ALSM-C);  ALSTOM (ALSM-C),"%%%The%autonomous%power%supply%system%(6)%on%board%of%the%tram%(2),%has%a%battery%of%supercapacitors%distributed%within%the%structure%of%the%tram.%An%overhead%line%(7)%powered%by%an%energy%accumulating%kinetic%system%(9)%cooperates%with%a%pantograph%(5)%of%the%tram%to%charge%the%power%supply%system%while%the%tram%is%stopped%in%a%station%(1).%%%%%-%For%supplying%electric%power%to%electrically%propelled%public%transport%vehicle%e.g.%tram.%%%%%-%The%%of%autonomous%power%supply%system%based%on%supercapacitors%optimize%the%behavior%of%the%tram%and%offers%great%ruggedness%and%high%tolerance%to%the%vibration%and%motion%encountered%on%board%rail%vehicles.%Enables%fast%changing%of%autonomous%power%supply%system%of%tram%from%low%power%electrical%power%supply%networks%at%stations.%Maintaining%the%supply%of%power%through%the%overhead%line%increases%the%autonomy%of%the%tram%on%autonomous%power%or%reduces%the%overall%size%and%cost%of%the%battery%of%supercapacitors,%the%energy%consumed%during%this%phase.%%%%DESCRIPTION%OF%DRAWING(S)%-%The%figure%shows%a%diagrammatic%perspective%view%of%the%station%of%the%tram.%%%%Station%(1)%%%%Tram%(2)%%%%Pantograph%(5)%%%%Autonomous%power%supply%system%(6)%%%%Overhead%line%(7)%%%%Kinetic%system%(9)%","Q14(Electricpropulsion,seating)",X23(ElectricRailwaysandSignalling),NA,DE60239843-EEPapplicationApplicationEP290036;DE60239843-EBasedonPatentEP1228919;ES2362996-T3EPapplicationApplicationEP290036;ES2362996-T3BasedonPatentEP1228919;HK1050166-A1RelatedtoPatentEP1228919
"Power supply unit for passenger protection, used with signal-modulated vehicle bus, includes current limiter restricting discharge of autonomous capacitor",FENDT G,CONTI TEMIC MICROELECTRONIC GMBH (TELE-C);  CONTI TEMIC MICROELECTRONIC GMBH (TELE-C),"%%%The%charge%of%the%autonomous%capacitor%(C)%is%measured%(6a).%A%current%limiter%(1)%restricts%current%drawn%(I)%from%the%supply%network%(2)%as%a%function%of%the%measured%charge%(Uc(t))%on%the%capacitor%(C).%%%%%-%For%the%bus%systems%of%passenger%protection%units%in%vehicles%with%data%transmissions%modulated%onto%the%supply%voltage%(claimed%application).%%%%%-%The%circuit%reduces%loading%of%the%bus.%It%also%protects%the%assembly%of%electronic%components.%By%controlling%the%gate%voltage%of%a%MOSFET%for%example,%discharge%from%the%capacitor%can%be%limited,%when%its%charge%has%reached%a%critical%state.%%%%DESCRIPTION%OF%DRAWING(S)%-%A%block%schematic%circuit%diagram%is%presented.%%%%current%limiter%(1)%%%%supply%network%(2)%%%%voltage%measurement%component%(Zener)%(6a)%%%%autonomous%capacitor%(C)%%%%current%drawn%(I)%%%%)%measured%voltage%(Uc(t)%",U24(AmplifiersandLowPowerSupplies),W01(TelephoneandDataTransmissionSystems),"W02(Broadcasting,RadioandLineTransmissionSystems)",X22(AutomotiveElectrics)
"Autonomous secure data synchronization method in distributed computing environment, involves synchronizing states of shared data items in central location and remote location by using secure sockets layer protocol",NORRIS J S;  BACKES P G,NORRIS J S (NORR-Individual);  BACKES P G (BACK-Individual);  CALIFORNIA INST OF TECHNOLOGY (CALY-C),"%%%Difference%between%the%states%of%a%shared%data%item%stored%in%a%central%location%(1225)%and%a%remote%location%(1205)%which%are%connected%by%a%computer%network%such%as%internet,%is%detected.%The%states%of%the%shared%data%item%in%the%central%and%the%remote%location%are%synchronized%by%securing%a%communication%between%the%locations%using%a%secure%socket%layers%protocol.%%%%%-%For%autonomous,%secure%data%synchronization%in%a%distributed%computing%environment%comprising%multiple%computers%at%geographically%disparate%locations%for%various%applications%such%as%commanding%robotic%mining%vehicles,%robotic%arms%for%delicate%surgeries,%robotic%agricultural%vehicles%and%for%cryptographic%systems.%%%%%-%The%data%in%a%distributed%computing%environment%is%synchronized%securely%and%autonomously%by%using%secure%sockets%layer%protocol%and%the%data%is%distributed%easily%and%securely%to%multiple%geographically%distributed%clients.%%%%%%-%INDEPENDENT%CLAIMS%are%included%for%the%following:%%%%(1)%Autonomous,%secure%data%synchronizer;%and%%%%(2)%Computer%program%product%comprising%instructions%for%autonomous%secure%data%synchronization.%%%%%OF%DRAWING(S)%-%The%figure%shows%the%block%diagram%of%the%secure%connection%establishing%process.%%%%Remote%location%(1205)%%%%Central%location%(1225)%",T01(DigitalComputers),W01(TelephoneandDataTransmissionSystems),"W05(Alarms,Signalling,TelemetryandTelecontrol)",US2002095568-A1ProvisionalApplicationUS172880P
"Vending machine for dispensing power and telecommunication channel accesses, controls telecommunication channel access circuit based on stored electronic payment information received from customer",SCHELBERG C C;  DUFF T M,SCHELBERG C C (SCHE-Individual);  DUFF T M (DUFF-Individual);  POWEROASIS INC (POWE-Non-standard),"%%%A%telecommunication%channel%access%circuit%(120)%connected%with%a%channel%access%connector%(122),%enables%access%to%the%external%telecommunication%channel.%A%control%unit%(106)%has%a%memory%for%storing%electronic%payment%information%received%from%the%customer%and%controls%an%electronic%circuit%that%detects%vending%transaction%completion%and%the%telecommunication%channel%access%circuit%accordingly.%%%%%-%For%vending%electric%power%at%airports%and%other%public%places%for%any%electrical%device%including%computer,%cell%phone,%pager,%vehicles.%For%vending%telecommunication%channel%access%at%airports%and%other%public%places%for%any%communication%device%including%portable%computer%and%special%telecommunication%devices%for%physically%impaired.%For%vending%combination%of%power%and%telecommunication%access%to%onboard%moving%vehicles%such%as%ships,%airplanes%and%bs.%For%vending%power,%communications%and%other%utilities%at%rental%properties,%public%playgrounds%and%camp%sites.%For%vending%power%and%telecommunication%access%or%other%fuel%to%vehicles%where%communication%is%also%ful%for%vehicle%diagnostics%or%customer%communications%while%refueling%or%while%parked.%For%vending%power%and%optionally%telecommunication%access%to%electronic%equipment%locked%in%storage%lockers%to%allow%batteries%to%recharge%and/or%to%allow%autonomous%operations%such%as%upload%and%download%messages%while%customer%is%otherwise%occupied.%For%vending%power%and%other%utilities%and%services%such%as%natural%gas,%steam%for%vehicles%and%for%building%operations%and%to%facilitate%and%monitor%cleaning%or%other%repair%and%maintenance%activities%by%using%vacuum%cleaner,%floor%polishers.%Also%for%providing%customers%with%voice%communication%capabilities%through%Internet%or%other%voice%over%data%networks%e.g.%for%Internet%phone%service,%video%phone%service%through%Internet.%Vending%machines%can%be%installed%in%fairs,%outdoor%concerts%and%other%similar%sites.%Vending%machines%can%be%arranged%on%kiosk,%booth,%etc.%%%%%-%The%r%interface%can%be%present%inside%or%uploaded%to%the%r's%laptop%or%other%device,%thereby%obviating%the%need%for%interface%within%the%vending%machine%unit.%The%usage%of%card%access%system%obviates%the%need%for%visual%or%aural%interface.%Avoids%need%for%power%meter,%since%fee%charged%for%the%transaction%is%a%function%of%convenience%of%the%vending%machine%and%length%of%time%that%customer%s%the%machine.%The%billing%computer%approves%or%disapproves%the%transaction%based%on%the%information%stored%in%the%billing%computer,%thereby%obviating%the%need%to%contact%a%bank%for%approval.%Avoids%need%for%noise%and%surge%protection%circuits%without%affecting%the%function%of%the%machine.%%%%DESCRIPTION%OF%DRAWING(S)%-%The%figure%depicts%a%block%diagram%of%the%vending%machine.%%%%Control%unit%(106)%%%%Telecommunication%channel%access%circuit%(120)%%%%Channel%access%connector%(122)%","Q79(Weapons,ammunition,blasting)","T05(Counting,Checking,Vending,ATMandPOSSystems)",W01(TelephoneandDataTransmissionSystems),"W05(Alarms,Signalling,TelemetryandTelecontrol)"
"Remote well head subsea communication method, for autonomous underwater vehicle, involves transmitting electromagnetic signal from cathodic protection anode to surface vessel having electrodes at different distances",HUDSON S M,FLIGHT REFUELLING LTD (FLIG-Non-standard);  FLIGHT REFUELLING LTD (FLIG-Non-standard);  HUDSON S M (HUDS-Individual);  EXPRO NORTH SEA LTD (EXPR-Non-standard);  EXPRO NORTH SEA LTD (EXPR-Non-standard);  EXPRO NORTH SEA LTD (EXPR-Non-standard);  EXPRO NORTH SEA LTD (EXPR-Non-standard),"%%%The%electromagnetic%signal%emitted%from%a%cathodic%protection%anode%(13)%provided%on%the%remote%well%head%(12)%is%transmitted%to%a%surface%vessel%or%subsea%vehicle.%The%signals%are%received%by%the%receivers%(21,31)%at%the%surface%vessel%or%subsea%vehicle%having%electrodes%(22,23,32,33)%placed%at%different%distances%from%the%anode.%%%%%-%For%providing%communication%between%vehicles%in%subsea%for%e.g.%tetherless%autonomous%underwater%vehicle%(AUV),%tethered%remotely%operated%vehicle.%Also%for%pipeline%system%d%in%oil%and%gas%industry.%%%%%-%Reliably%transmits%the%signals%in%real-time%without%the%need%of%connecting%cables.%%%%%%-%INDEPENDENT%CLAIMS%are%included%for:%%%%(1)%Subsea%vehicle%communication%method;%%%%(2)%Remote%well%head%subsea%communication%system;%and%%%%(3)%Subsea%vehicle%communication%system.%%%%%OF%DRAWING(S)%-%The%figure%shows%an%explanatory%view%of%the%pipeline%system.%%%%Remote%well%head%(12)%%%%Cathodic%protection%anode%(13)%%%%Receivers%(21,31)%%%%Electrodes%(22,23,32,33)%","H01(Obtainingcrudeoilandnaturalgas,exploration,drilling,wellcompletion,productionandtreatment)",Q49(Mining),"W02(Broadcasting,RadioandLineTransmissionSystems)","W05(Alarms,Signalling,TelemetryandTelecontrol)"
