819,US,A1,US 2010/0194143 A1,121-091-004-045-323,2010-08-05,2010,US 36628909 A,2009-02-05,US 36628909 A 20090205,Proactive Aerodynamic Truck Trailer Shroud,INT TRUCK INTELLECTUAL PROP CO,PERKINS PATRICIA M,,BRADLEY JAMES C,https://lens.org/121-091-004-045-323,Patent Application,yes,10,4,4,0,B62D35/001,B60J1/00,,E05F15/56,296/180.2,,296/180.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,US,A1,US 2015/0168953 A1,195-143-436-026-202,2015-06-18,2015,US 201414570572 A,2014-12-15,US 201361915669 P 20131213,Autonomous Self-leveling Vehicle,ITRACK LLC,SMID EDZKO,https://lens.org/195-143-436-026-202,Patent Application,yes,2,1,1,0,G01S5/14,,B62D57/02,,G05D1/028,,G05D1/0891,G05D1/02,,G01S5/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,US,A,US 5390125 A,101-610-282-331-131,1995-02-14,1995,US 1954093 A,1993-02-18,US 62856090 A 19901203,,US 48798090 A 19900205,Vehicle Position Determination System And Method,CATERPILLAR INC,SENNOTT JAMES W,,KYRTSOS CHRISTOS T,,GUDAT ADAM J,,CHRISTENSEN DANA A,,FRIEDRICH DOUGLAS W,,STAFFORD DARRELL E,https://lens.org/101-610-282-331-131,Granted Patent,yes,304,3,104,0,G01S19/47,,B60K31/0008,,B60K31/04,,B62D1/28,,G01S5/009,,G01S7/4811,,G01S17/023,,G01S17/42,,G01S17/936,,G01S19/11,,G01S19/27,,G01S19/41,,G01S19/46,,G01S19/52,,G05D1/0011,,G05D1/024,,G05D1/0242,,G05D1/0268,,G05D1/027,,G05D1/0272,,G05D1/0278,,G05D1/0297,,G05D2201/0202,,G08G1/20,,Y02T10/84,B60K31/00,,B62D1/28,,G01C21/16,,G01S1/00,,G01S5/00,,G01S5/14,,G01S7/481,,G01S17/02,,G01S17/42,,G01S17/93,,G01S19/41,,G01S19/47,,G05D1/00,,G05D1/02,,G08G1/0968,,G08G1/123,,G08G1/127,364/449,,364/459,,342/357,,342/457,11536622,10.1109/TPAMI.1986.4767851,,10.1109/TIT.1981.1056349,,10.1038/SCIENTIFICAMERICAN1289-124,,10.1145/21850.253913,"Brown, R., Random Signal Analysis & Kalman Filtering, Chapter 5, pp. 181 209, no date.;;Jorgensen, 18 Satellite Constellations, pp. 9 12, 1980.;;Iijima, J., et al., A Locomotion Control System for Mobile Robots, no date.;;Kanayama, Y., et al., Trajectory Generation for Mobile Robots, no date.;;Kanayama, Y., et al., A Vehicle Control Architecture Smooth Driver, Stanford University, no date.;;Dickmans, E., Vehicle Guidance by Computer Vision, no date.;;Mueller, C., et al., Laser Gyro Land Navigation System Performance Predictions and Field Results, IEEE, 1984.;;Sennott, J. W., Experimental Measurement and Characterization of Ionospheric Multipath Errors In Differential GPS , no date.;;Johnson, C. In Flight Transfer Alignment/Calibration of a Strapdown INS that Employs Carouseled Instruments and IMV Indexing, no date.;;Culshaw, B., et al., Fibre Optic Gyroscopes In Inertial Navigation, no date.;;Savkoor, A. R., The Lateral Flexibility of Pneumatic Tyre and Its Application to the Lateral Rolling Contact Problem, pp. 367 381, no date.;;Brodie, K., et al., Performance Analysis of Integrated Navigation Systems, computer applications software technology, no date.;;Nitao, J., et al., A Pilot for a Robotic Vehicle System, pp. 951 955, no date.;;Robotech Laboratory Company.;;Jacob, T., Integrated Navigation System for Approach Guidance for Regional Air Traffic Using GPS, no date.;;Denavit, J. et al., A Kinematic Notation for Lower Pair Mechanisms Bases on Matrices, pp. 215 221, Jun, 1955.;;Sheridan, T. Three Models of Preview Control, IEEE Transactions on Human Factors in Electronics, pp. 91 102, Jun. 1966.;;Bundorf, R. The Influence of Vehicle Design Parameters on Characteristic Speed and Understeer, Jan. 1967.;;Sorenson, W., Least Squares estimation: From Gauss to Kalman, IEEE Spectrum, pp. 63 68, Jul. 1970.;;Sheth, P., et al., A Generalized Symbolic Notation for Mechanism, Transactions of the ASME, pp. 102 112, Feb. 1971.;;Nedley, A., et al., A New Laboratory Facility for Measuring Vehicle Parameters Affecting Understeer and Brakesteer, pp. 1 20, Jun. 2, 1972.;;Brockstein, A., GPS Kalman Augmented Inertial Navigation System Performance, Naecom 76 Record, pp. 864 868, 1976.;;Martin E., Aiding GPS Navigation Functions, Naecom 76 Record, pp. 849 856, 1976.;;Lozano Perez, T., et al., An Algorithm for Planning Collision free Paths among Polyhedral Obstacles, Communications of the ACN, pp. 560 570, Oct. 1979.;;Luh, J., et al., Resolved acceleration Control of Mechanical Manipulators, IEEE Transactions on Automatic Control, pp. 468 475, Jun. 1980.;;Euler, W., et al., A Perspective on Civil Use of GPS, The Institute of Navigation, 36th Annual Meeting, pp. 1 7, 1980.;;Sakai, H., Theoretical and Experimental Studies on the Dynamic Properties of Tyres Part I: Review of Rubber Friction, International Journal of Vehicle Design, pp. 78 110, 1981.;;Sakai, H., Theoretical and Experimental Studies on the Dynamic Properties of Tyres, Part II: Experimental Investigation of Rubber Friction and Deformation of a Tyre, International Journal of Vehicle Design, pp. 182 226, 1981.;;Sakai, H., Theoretical and Experimental Studies on the Dynamic Properties of Tyres, Part III: Calculation of the Six Components of Force and Moment of Tyre, International Journal of Vehicle Design, pp. 335 372, 1981.;;Sennott, J., Real Time GPS and Loran C Dynamical Performance for Critical Marine Applications, IEEE, pp. 1006 1009, 1981.;;Sennott, J., et al., A Queueing Model for Analysis of A Bursty Multipe Access Communication Channel, IEEE, pp. 317 321, 1981.;;MacAdam, C., Application of an Optimal Preview Control for Simulation of Closed Loop Automobile Driving, IEEE Transactions on Systems, Man, and Cybernetics, pp. 393 399, Jun. 1981.;;Orin, D., Supervisory Control of a Multi legged Robot, The International Journal of Robotics Research, pp. 79 91, Spring 1982.;;Greenspan, R., et al. Accuracy of Relative Positioning by Interferometry with Reconstructed Carrier CPS: Experimental Results, Third International Symposium on Satellite Doppler Positioning, pp. 1 19, 2/82.;;Upadhyay, T., et al., Benefits on Integrating GPS and Inertial Navigation, pp. 1 13, Jun. 1982.;;Daum, F., et al., Decoupled Kalman Filters for Phased Array Radar Tracking, IEEE Transactions on Automatic Control, pp. 269 283, Mar. 1983.;;Kao, M., et al., Multiconfiguration Kalman Filter Design for High Performance GPS Navigation, IEEE Transactions on Automatic Control, pp. 304 314, Mar. 1983.;;Brooks, R., Solving the Fine Path Problem by Good Representation of Free Space, IEEE Transactions on Systems, Man, and Cybernetics, pp. 190 197, Mar. Apr., 1983.;;Schwartz, H., Sensitivity Analysis of an Integrated Navstar GPS/INS Navigation System to Component Failure, Journal of the Institute of Navigation, vol. 3, No. 4, pp. 325 337, 1983.;;New Airbuses to Use Laser Inertial Reference Systems for Navigation, Litton Systems, Aircraft Engineering, pp. 10 11, Jun. 1983.;;Parkinson, B., et al., NAVSTAR: Global Positioning System Ten Years Later, Proceedings of the IEEE, pp. 1178 1186, 1983.;;Kuritsky, M., et al., Inertial Navigation, Proceedings of the IEEE, pp. 1156 1176, Oct. 1983.;;Brown, R., Kalman Filtering Study Guide A Guided Tour, Iowa State University, pp. 1 19, 1984.;;Divakaruni, S., et al., Fast Reaction and High Reliability of Strapdown Navigation Systems Using Ring Laser Gyros, IEEE pp. 315 322, 1984.;;Auch, W., et al., Fibre Optic Gyroscope, 1984.;;Ashjaee, J., et al., Precise Positioning Using a 4 Channel C/A Code GPS Receiver, IEEE pp. 236 244, 1984.;;Vehicle Dynamics Terminology, SAE J670e, 1984.;;Lerner, E., Gyros in Business Aircraft, Aerospace America, pp. 66 69, Oct. 1984.;;Canny, J., A Computational Approach to Edge Detection, pp. 184 203, 1985.;;Khatib, O., Real time Obstacle Avoidance for Manipulators and Mobile Robots, pp. 500 505, 1985.;;Vaurus, J., A Stimulation of an Imbedded Software System for Global Positioning System Navigation, Proceedings of the 1985 Winter Simulation Conference, pp. 586 590, 1985.;;Raol, J., et al., On the Orbit Determination Problem, IEEE Transactions on Aerospace and Electronic Systems, pp. 274 290, May 1985.;;Dickmanns, E. et al., Guiding Land Vehicles Along Roadways by ComputerVision , The Tools for Tomorrow, Oct. 23, 1985.;;E. Udd, Fiberoptic v. Ring Laser Gyros: An Assessment of the Technology, Laser Focus/Electro Optics, pp. 64 74, Dec. 1985.;;H. Hatwal et al., Some Inverse Solutions to an Automobile Path tracking Problem with Input Control of Steering and Brakes, Vehicle System Dynamics, pp. 61 71, 1986.;;H. Wunsche, Detection and Control of Mobile Robot Motion by Real Time Computer Vision, Mobile Robots, pp. 100 104, 1986.;;R. Majure et al., Comparison of Laser Gyro IMU Configurations for Reentry Systems, IEEE, pp. 96 100, 1986.;;R. Cox et al., Design for Maintainability: Litton s New Family of RLG Inertial Navigation Systems, IEEE, pp. 115 119, 1986.;;S. Divakaruni et al., Ring Laser Gyro Inertial and GPS Integrated Navigation System for Commercial Aviation, IEEE, pp. 73 80, 1986.;;J. Oliver et al., A Navigation Algorithm for an Intelligent Vehicle with a Laser Rangefinder, pp. 1145 1150, 1986.;;M. Grewal et al., Application of Kalman Filtering to the Calibration and Alignment of Inertial Navigation Systems, IEEE, pp. 65 72, 1986.;;J. Nielson, et al. GPS Aided Inertial Navigation, IEEE AES Magazine, pp. 20 26, Mar. 1986.;;D. Feng, Satisficing Feedback Strategies for Local Navigation of Autonomous Mobile Robots, May 5, 1989.;;H. Nii, Blackboard Systems: The Blackboard Model Problem solving and the Evolution of Blackboard Architectures, The AI Magazine, pp. 38 53, Summer 1986.;;H. Nii, Blackboard Application Systems, Blackboard Systems from a Knowledge Engineering Perspective, The AI Magazine, pp. 82 89, Aug. 1986.;;E. Dickmanns et al., A Curvature based Scheme for Improving Road Vehicle Guidance by Computer Vision, SPIE s Cambridge Symposium on Optical and Optoelectronic Engineering, Oct. 1986.;;D. Kuan et al., Model based Geometric Reasoning for Autonomous Road Following, pp. 416 423, 1987.;;R. Dork, Satellite Navigation Systems for Land Vehicles, IEEE AES Magazine, pp. 2 5, May 1987.;;J. Sennott et al., Study of Differential Processing and Kalman Filtering of Bay Saint Louis Test Data, Ch 1 5, 1987.;;J. Collins, GPS Equipment Survey, GPS What does it all mean , P.O.B., Jun. Jul. 1987 pp. 12 22.;;Navstar GPS Space Segment/Navigation User Interface, Rockwell International Corporation, Nov. 30, 1987.;;G. Geier, et al., 37 Design of an Integrated Navigation System for Robotic Vehicle Application, Journal of the Institute of Navigation.;;R. Dunlay, Obstacle Avoidance Perception Processing for the Autonomous Land Vehicle, pp. 912 917, 1988.;;I. Cox, Blanche: An Autonomous Robot Vehicle for Structured Environments, AT&T Bell Laboratories, pp. 978 982, 1988.;;W. Nelson, et al., Local Path Control for an Autonomous Vehicle, AT&T Bell Laboratories, pp. 1504 1510, 1988.;;G. Wilfong, Motion Planning for an Autonomous Vehicle, AT&T Bell Laboratories, pp. 529 533, 1988.;;M. Dailey et al., Autonomous Cross Country Navigation with the ALV, Hughes Artificial Intelligence Center, pp. 718 726, 1988.;;H. Nasr et al., Landmark Recognition for Autonomous Mobile Robots, pp. 1218 1223, 1988.;;D. Kriegman et al., Generic Models for Robot Navigation, pp. 746 751, 1988.;;C. McGillem et al., Infra Red Location System for Navigation of Autonomous Vehicles, IEEE, pp. 1236 1238, 1988.;;J. Dixon, Linear and Non linear Steady State Vehicle Handling, Proceedings of the Institute of Mechanical Engineers, pp. 173 186, 1988.;;Y. Kanayama et al., A Locomotion Control Method for Autonomous Vehicles, pp. 1315 1317, 1988.;;Y. Kanayama et al., Smooth Local Path Planning for Autonomous Vehicles, Center for Robotic Systems and Microelectronics, University of California at Santa Barbara, Mar. 7, 1988.;;W. Nelson, Continuous Steering Function Control of Robot Carts, AT&T Bell Laboratories, Apr. 1988.;;D. Kuan, Autonomous Robotic Vehicle Road Following, IEEE Transactions on Pattern Analysis and Machine Intelligence, pp. 647 658, 1988.;;J. Crowley, Asynchronous Control of Orientation and Displacement in a Robot Vehicle, pp. 1277 1288, 1989.;;J. Crowley, Part 3: Knowledge Based Supervision of Robotics Systems, 1989 IEEE Conference on Robotics and Automation, pp. 37 42, 1989.;;J. Borenstein et al., The Vector Field Histogram Fast Obstacle Avoidance for Mobile Robots, IEEE Journal of Robotics and Automation, Jul. 1989.;;D. Touretzky et al., What s Hidden in the Hidden Layers , Byte, pp. 227 233, Aug. 1989.;;W. Uttal, Teleoperators, Scientific American, pp. 124 129, Dec. 1989.;;D. Rogers et al., Mathematical Elements for Computer Graphics, pp. 144 155, Dec. 8, 1989.;;D. Daniel et al., Kinematics and Open loop Control of an Ilonator Based Mobile Platform, pp. 346 351 1985.;;B. Krogh et al., Integrated Path Planning and Dynamic Steering Control for Autonomous Vehicles, 1986.;;Y. Goto et al., The CMU System for Mobile Robot Navigation, The Robotics Institutes, Carnegie Mellon University, pp. 99 105, 1987.;;P. Muir, et al., Kinematic Modeling for Feedback Control of an Omnidirectional Wheeled Mobile Robot, pp. 1772 1778, 1987.;;L. Matthies et al., Integration of Sonar and Stereo Range Data Using a Grid based Representation, Computer Science Department and Robotics Institute, Carnegie Mellon University, pp. 727 733, 1988.;;T. Graettinger et al., Evaluation and Time Scaling of Trajectories for Wheeled Mobile Robots, ASME Journal of Dynamic Systems, Nov. 25, 1987.;;H. Yamazaki et al., Autonomous Land Vehicle Using Millimeter Wave Sensing Systems, Proceedings of the 5th International Symposium on Robotics in Construction, Jun. 1988.;;Randolph Hartman, Integrated Laser Inertial/GPS Navigation (GPIRS), Publication of Honeywell Inc., Feb., 1990, from a presentation at the Royal Institute of Navigation NAV 89 Satellite Navigation Conference, Oct., 1989.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,WO,A1,WO 2017/079803 A1,096-597-762-493-866,2017-05-18,2017,AU 2016/051084 W,2016-11-11,AU 2015 904662 A 20151112,,AU 2015 905331 A 20151222,An Unmanned Roadside Signage Vehicle System,BOYLE NORMAN,BOYLE NORMAN,https://lens.org/096-597-762-493-866,Patent Application,yes,0,1,1,0,,G05D1/02,,B60Q7/00,,E01F9/594,,G08G1/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,WO,A1,WO 2001/080068 A1,059-346-543-858-169,2001-10-25,2001,US 0112527 W,2001-04-14,US 19739300 P 20000414,Generating A Model Of The Path Of A Roadway From An Image Recorded By A Camera,MOBILEYE INC,STEIN GIDEON,,SHASHUA AMNON,https://lens.org/059-346-543-858-169,Patent Application,yes,3,4,4,0,G06T3/0081,,G05D1/0246,,G05D2201/0213,,G06K9/00798,,G06T7/30,,G06T7/55,G05D1/02,,G06T3/00,,G06T7/00,,,10.1109/IVS.1993.697358,,10.1109/IVS.1995.528329,,10.1109/ICIP.2000.900938,,10.1109/IVS.1994.639506,,10.1109/ROBOT.1989.100136,"GREGOR R. ET AL.: ""EMS-vision: A perceptual system for autonomous vehicles"", PROCEEDINGS OF THE IEEE INTELLIGENT VEHICLES SYMPOSIUM, 2000, pages 52 - 57, XP002944989;;MAGANTO A.L. ET AL.: ""A monocular vision system for autonomous vehicle guidance"", INTERNATIONAL CONFERENCE ON IMAGE PROCESSING, 2000, pages 236 - 239, XP002944990;;STEIN G.P. ET AL.: ""A robust method for computing vehicle ego-motion"", PROCEEDINGS OF THE IEEE INTELLIGENT VEHICLES SYMPOSIUM, 2000, pages 362 - 368, XP002944991;;GEHRIG S.K. ET AL.: ""A trajectory-based approach for the lateral control of car following systems"", 1998 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN AND CYBERNETICS, vol. 4, 1998, pages 3596 - 3601, XP002944992;;FROHN H. ET AL.: ""VISOCAR: An autonomous industrial transport vehicle guided by visual navigation"", 1989 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION, May 1989 (1989-05-01), pages 1155 - 1159, XP002944993;;ESTABLE S. ET AL.: ""A real-time traffic sign recognition system"", PROCEEDINGS OF THE INTELLIGENT VEHICLES '954 SYMPOSIUM, 1994, pages 213 - 218, XP002944994;;JANSSEN R. ET AL.: ""Hybrid approach for traffic sign recognition"", INTELLIGENT VEHICLES '93 SYMPOSIUM, 1993, pages 390 - 395, XP002944995;;GILLNER W.J.: ""Motion based vehicle detection on motorways"", PROCEEDINGS OF THE INTELLIGENT VEHICLES '95 SYMPOSIUM, 1995, pages 483 - 487, XP002944996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,US,B2,US 6745089 B2,159-043-118-758-420,2004-06-01,2004,US 77657301 A,2001-02-01,US 77657301 A 20010201,,US 17959600 P 20000201,,US 17949300 P 20000201,Adaptable State Based Control System,CALIFORNIA INST OF TECHN,RASMUSSEN ROBERT D,,DVORAK DANIEL L,,GOSTELOW KIM P,,STARBIRD THOMAS W,,GAT ERANN,,CHIEN STEVE ANKUO,,KELLER ROBERT M,https://lens.org/159-043-118-758-420,Granted Patent,yes,41,2,2,0,G05B13/02,,G05B17/02,,G05B2219/23255,,G05B2219/23425,G05B13/02,,G05B17/02,700/51,,700/28,,700/29,,700/30,,700/31,,700/52,,703/2,,10.1109/37.120453,,10.1145/267658.267724,,10.1109/70.285583,,10.1109/IROS.1992.594567,"Michael P. Georgeff, et al., ""Reactive Reasoning and Planning,"" Robotics, 677-682.;;Kurt Konolige, ""Colbert: A Language for Reactive Control in Sapphira,"" Advances in Artificial Intelligence, vol. 1303 of Lecture Notes in Computer Science, 1997.;;Pat Langley, ""Machine Learning for Adaptive User Interfaces,"" In Proceedings of the 21<st >German Annual Conference on Artificial Intelligence, 1997, 53-62.;;Drew McDermott, ""Transformational Planning of Reactive Behavior,"" Yale University TR CSD RR-941, Dec. 1992.;;Barney Pell et al., ""An Autonomous Spacecraft Agent Prototype,"" In Proceedings of First International Conference on Autonomous Agents, 1997, 253-261.;;Reid Simmons et al., ""A Task Description Language for Robot Control,"" In Proceedings of Conference on Intelligent Robotics and Systems, 1998.;;Reid Simmons, ""Concurrent Planning and Execution for Autonomous Robots,"" IEEE Control Systems, 1992, 46-50.;;Reid G. Simmons, ""Monitoring and Error Recovery for Autonomous Walking,"" Proceedings of IEEE, 1992, 1407-1412.;;Reid G. Simmons, ""Structured Control for Autonomous Robots,"" IEEE Transactions on Robotics and Automation, vol. 10, No. 1, Feb. 1994, 34-43.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,US,B1,US 8838322 B1,163-037-756-108-768,2014-09-16,2014,US 201213585486 A,2012-08-14,US 201213585486 A 20120814,System To Automatically Measure Perception Sensor Latency In An Autonomous Vehicle,ZHU JIAJUN,,FERGUSON DAVID I,,GOOGLE INC,ZHU JIAJUN,,FERGUSON DAVID I,https://lens.org/163-037-756-108-768,Granted Patent,yes,3,1,1,0,G01C22/00,,B60W30/00,,G01S7/4004,,G01S7/497,,G01S13/86,,G01S13/931,,G01S17/023,,G01S17/936,,G05D1/024,,G05D1/0248,,G05D1/0257,,G05D2201/0213,G01C22/00,701/26,,348/46,,342/71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,US,A1,US 2015/0106010 A1,170-168-710-376-20X,2015-04-16,2015,US 201314053859 A,2013-10-15,US 201314053859 A 20131015,Aerial Data For Vehicle Navigation,FORD GLOBAL TECH LLC,MARTIN DOUGLAS R,,MILLER KENNETH J,https://lens.org/170-168-710-376-20X,Patent Application,yes,12,4,4,0,G01C21/34,,G01C21/3691,,G05D1/0094,,G05D1/0278,,G05D1/0282,,G05D2201/0213,,G06F17/30247,,G06K9/0063,,G06K9/00651,,G06K9/4604,,G08G1/0112,,G08G1/012,,G08G1/0129,,G08G1/0133,,G08G1/0141,,G08G1/0145,,G08G1/04,,G08G1/096716,,G08G1/096725,,G08G1/096741,,G08G1/096775,,G08G1/096811,,G08G1/164,,G08G1/205,G01C21/34,,G06F17/30,,G06K9/46,701/410,,382/195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,WO,A1,WO 2016/168599 A1,041-552-725-469-184,2016-10-20,2016,US 2016/0027756 W,2016-04-15,US 201514687038 A 20150415,Fabrication Of A Display Comprising Autonomous Pixels,MICROSOFT TECHNOLOGY LICENSING LLC,SWEENEY DAVID,,HODGES STEPHEN EDWARD,,CHEN NICHOLAS YEN-CHERNG,https://lens.org/041-552-725-469-184,Patent Application,yes,0,4,5,0,G09G3/344,,G02F1/13318,,G02F1/133305,,G02F1/167,,G02F2201/58,,G09G3/2088,,G09G2300/0473,,G09G2320/08,,G09G2360/14,,G09G2360/141,,G09G2360/142,,G09G2360/144,G02F1/1333,,G02F1/167,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,US,A1,US 2013/0138288 A1,062-854-517-654-858,2013-05-30,2013,US 201113307460 A,2011-11-30,US 201113307460 A 20111130,System And Method For Estimating The Mass Of A Vehicle,NICKOLAOU JAMES N,,LESHINSKY JR LEONARD J,,GM GLOBAL TECH OPERATIONS INC,NICKOLAOU JAMES N,,LESHINSKY JR LEONARD J,https://lens.org/062-854-517-654-858,Patent Application,yes,6,5,5,0,B60W40/13,,B60W2510/0657,,B60W2520/105,,B60W2550/142,G06F7/00,,G05D1/00,,G06F19/00,701/23,,701/1,,701/99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,US,A1,US 2016/0307521 A1,118-302-814-046-781,2016-10-20,2016,US 201615130127 A,2016-04-15,US 201615130127 A 20160415,,US 201514687038 A 20150415,Fabrication Of A Display Comprising Autonomous Pixels,MICROSOFT TECHNOLOGY LICENSING LLC,SWEENEY DAVID,,HODGES STEPHEN EDWARD,,CHEN NICHOLAS YEN-CHERNG,https://lens.org/118-302-814-046-781,Patent Application,yes,0,1,5,0,G09G3/344,,B05D1/12,,B05D1/18,,B32B37/20,,B32B38/0004,,B32B2255/00,,B32B2307/202,,B32B2457/20,,G02F1/13318,,G02F1/167,,G02F2201/58,,G09G3/2088,,G09G2300/0473,,G09G2320/08,,G09G2360/14,,G09G2360/141,,G09G2360/142,,G09G2360/144,G09G3/34,,B05D1/12,,B05D1/18,,B32B37/20,,B32B38/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,US,A,US 5742141 A,088-749-368-441-283,1998-04-21,1998,US 65811396 A,1996-06-04,US 65811396 A 19960604,Semi-autonomous Parking Control System For A Vehicle Providing Tactile Feedback To A Vehicle Operator,FORD MOTOR CO,CZEKAJ JAMES L,https://lens.org/088-749-368-441-283,Granted Patent,yes,168,1,1,0,B62D15/0285,,B60T2201/10,,B62D15/028,B62D1/28,,B62D6/00,318/587,,318/580,,180/204,,180/199,,180/167,,364/424.01,,364/426.01,,364/460,,10.4271/941000,"SAE Technical Paper 941000, D. Gorinevsky, A. Kapitanovsky and A. Goldberg, AUTOPASS: Automated Parking Support System, Feb. 28, 1994.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,US,A1,US 2011/0266077 A1,132-234-165-998-883,2011-11-03,2011,US 77000110 A,2010-04-29,US 77000110 A 20100429,Autonomous Propulsion System,NADEAU CLAUDE,NADEAU CLAUDE,https://lens.org/132-234-165-998-883,Patent Application,yes,0,3,3,0,B62D1/12,,A63C11/10,,B62D55/07,,B62M27/02,,B62M2027/022,,Y10T74/20396,A63C17/12,180/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,US,A1,US 2016/0375768 A1,171-025-288-376-463,2016-12-29,2016,US 201615056815 A,2016-02-29,US 201615056815 A 20160229,,US 201514749373 A 20150624,Vehicle Operation Assistance Information Management For Autonomous Vehicle Control Operation,NISSAN NORTH AMERICA INC,KONET HEATHER,,GOUDY ROY,,CHRISTENSEN ANDREW,https://lens.org/171-025-288-376-463,Patent Application,yes,0,1,4,0,B60K35/00,,B60K2350/106,,B60K2350/1096,,B60W10/00,B60K35/00,,G05D1/00,,G06K9/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
